source,target,weight
600588.XSHG,600804.XSHG,1
600588.XSHG,600823.XSHG,1
600588.XSHG,600875.XSHG,1
600588.XSHG,601166.XSHG,1
600588.XSHG,601717.XSHG,1
600588.XSHG,603000.XSHG,1
600597.XSHG,600823.XSHG,1
600598.XSHG,601118.XSHG,1
600598.XSHG,601288.XSHG,1
600598.XSHG,601328.XSHG,1
600598.XSHG,601398.XSHG,1
600598.XSHG,601818.XSHG,1
600598.XSHG,601988.XSHG,1
600639.XSHG,600663.XSHG,1
600639.XSHG,600684.XSHG,1
600639.XSHG,600748.XSHG,1
600639.XSHG,600895.XSHG,1
600639.XSHG,601088.XSHG,1
600663.XSHG,600748.XSHG,1
600663.XSHG,600823.XSHG,1
600663.XSHG,600895.XSHG,1
600684.XSHG,600702.XSHG,1
600684.XSHG,600770.XSHG,1
600684.XSHG,600823.XSHG,1
600684.XSHG,600895.XSHG,1
600684.XSHG,601088.XSHG,1
600684.XSHG,601216.XSHG,1
600684.XSHG,601398.XSHG,1
600684.XSHG,601717.XSHG,1
600684.XSHG,601958.XSHG,1
600702.XSHG,600770.XSHG,1
600702.XSHG,600804.XSHG,1
600702.XSHG,600809.XSHG,1
600702.XSHG,600875.XSHG,1
600702.XSHG,601099.XSHG,1
600702.XSHG,601398.XSHG,1
600702.XSHG,601628.XSHG,1
600702.XSHG,601717.XSHG,1
600702.XSHG,601958.XSHG,1
600748.XSHG,600823.XSHG,1
600748.XSHG,600895.XSHG,1
600770.XSHG,600804.XSHG,1
600770.XSHG,600823.XSHG,1
600770.XSHG,601088.XSHG,1
600770.XSHG,601166.XSHG,1
600770.XSHG,601169.XSHG,1
600770.XSHG,601216.XSHG,1
600770.XSHG,601288.XSHG,1
600770.XSHG,601328.XSHG,1
600770.XSHG,601398.XSHG,1
600770.XSHG,601717.XSHG,1
600770.XSHG,601939.XSHG,1
600770.XSHG,601958.XSHG,1
600770.XSHG,601988.XSHG,1
600770.XSHG,603000.XSHG,1
600804.XSHG,600823.XSHG,1
600804.XSHG,600875.XSHG,1
600804.XSHG,601328.XSHG,1
600804.XSHG,601398.XSHG,1
600804.XSHG,601717.XSHG,1
600804.XSHG,603000.XSHG,1
600809.XSHG,600823.XSHG,1
600823.XSHG,600875.XSHG,1
600823.XSHG,600895.XSHG,1
600823.XSHG,601216.XSHG,1
600823.XSHG,601328.XSHG,1
600823.XSHG,601398.XSHG,1
600823.XSHG,603000.XSHG,1
600875.XSHG,601099.XSHG,1
600875.XSHG,601166.XSHG,1
600875.XSHG,601288.XSHG,1
600875.XSHG,601328.XSHG,1
600875.XSHG,601398.XSHG,1
600875.XSHG,601717.XSHG,1
600875.XSHG,601939.XSHG,1
600875.XSHG,601988.XSHG,1
600875.XSHG,603000.XSHG,1
600970.XSHG,601006.XSHG,1
600970.XSHG,601099.XSHG,1
600970.XSHG,601555.XSHG,1
600970.XSHG,601901.XSHG,1
600999.XSHG,601688.XSHG,1
601006.XSHG,601088.XSHG,1
601006.XSHG,601099.XSHG,1
601006.XSHG,601169.XSHG,1
601006.XSHG,601216.XSHG,1
601006.XSHG,601555.XSHG,1
601006.XSHG,601628.XSHG,1
601006.XSHG,601901.XSHG,1
601006.XSHG,601928.XSHG,1
601006.XSHG,601958.XSHG,1
601006.XSHG,603993.XSHG,1
601088.XSHG,601169.XSHG,1
601088.XSHG,601717.XSHG,1
601088.XSHG,601939.XSHG,1
601088.XSHG,601958.XSHG,1
601088.XSHG,601988.XSHG,1
601099.XSHG,601118.XSHG,1
601099.XSHG,601216.XSHG,1
601099.XSHG,601328.XSHG,1
601099.XSHG,601377.XSHG,1
601099.XSHG,601398.XSHG,1
601099.XSHG,601555.XSHG,1
601099.XSHG,601600.XSHG,1
601099.XSHG,601717.XSHG,1
601099.XSHG,601818.XSHG,1
601099.XSHG,601901.XSHG,1
601099.XSHG,601928.XSHG,1
601099.XSHG,601958.XSHG,1
601099.XSHG,601988.XSHG,1
601099.XSHG,603993.XSHG,1
601118.XSHG,601288.XSHG,1
601118.XSHG,601328.XSHG,1
601118.XSHG,601398.XSHG,1
601118.XSHG,601668.XSHG,1
601118.XSHG,601818.XSHG,1
601118.XSHG,601988.XSHG,1
601166.XSHG,601169.XSHG,1
601166.XSHG,601216.XSHG,1
601166.XSHG,601288.XSHG,1
601166.XSHG,601328.XSHG,1
601166.XSHG,601398.XSHG,1
601166.XSHG,601717.XSHG,1
601166.XSHG,601939.XSHG,1
601166.XSHG,601958.XSHG,1
601166.XSHG,601988.XSHG,1
601169.XSHG,601216.XSHG,1
601169.XSHG,601328.XSHG,1
601169.XSHG,601628.XSHG,1
601169.XSHG,601939.XSHG,1
601169.XSHG,601958.XSHG,1
601216.XSHG,601555.XSHG,1
601216.XSHG,601901.XSHG,1
601216.XSHG,603000.XSHG,1
601288.XSHG,601328.XSHG,1
601288.XSHG,601398.XSHG,1
601288.XSHG,601588.XSHG,1
601288.XSHG,601600.XSHG,1
601288.XSHG,601818.XSHG,1
601288.XSHG,601939.XSHG,1
601288.XSHG,601958.XSHG,1
601288.XSHG,601988.XSHG,1
601288.XSHG,601998.XSHG,1
601328.XSHG,601398.XSHG,1
601328.XSHG,601600.XSHG,1
601328.XSHG,601628.XSHG,1
601328.XSHG,601818.XSHG,1
601328.XSHG,601939.XSHG,1
601328.XSHG,601958.XSHG,1
601328.XSHG,601988.XSHG,1
601328.XSHG,601998.XSHG,1
601377.XSHG,601555.XSHG,1
601377.XSHG,601901.XSHG,1
601398.XSHG,601600.XSHG,1
601398.XSHG,601668.XSHG,1
601398.XSHG,601717.XSHG,1
601398.XSHG,601818.XSHG,1
601398.XSHG,601939.XSHG,1
601398.XSHG,601958.XSHG,1
601398.XSHG,601988.XSHG,1
601555.XSHG,601901.XSHG,1
601555.XSHG,601958.XSHG,1
601600.XSHG,601699.XSHG,1
601600.XSHG,601717.XSHG,1
601600.XSHG,601958.XSHG,1
601600.XSHG,601988.XSHG,1
601628.XSHG,601717.XSHG,1
601628.XSHG,601939.XSHG,1
601668.XSHG,601800.XSHG,1
601668.XSHG,601818.XSHG,1
601668.XSHG,601988.XSHG,1
601669.XSHG,601800.XSHG,1
601699.XSHG,601901.XSHG,1
601717.XSHG,601901.XSHG,1
601717.XSHG,601939.XSHG,1
601717.XSHG,601958.XSHG,1
601818.XSHG,601939.XSHG,1
601818.XSHG,601988.XSHG,1
601818.XSHG,601998.XSHG,1
601901.XSHG,601928.XSHG,1
601928.XSHG,601958.XSHG,1
601928.XSHG,603993.XSHG,1
601939.XSHG,601958.XSHG,1
601939.XSHG,601988.XSHG,1
601958.XSHG,601988.XSHG,1
601958.XSHG,603993.XSHG,1
601988.XSHG,601998.XSHG,1
